AdID,職位名稱,公司名稱,發布日期,職位詳情連結
HS26052231,常額學位教師 APSM (2026/27 年度),保良局余李慕芬紀念學校 PO LEUNG KUK YU LEE MO FAN MEMORIAL SCHOOL,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052231/%E5%B8%B8%E9%A1%8D%E5%AD%B8%E4%BD%8D%E6%95%99%E5%B8%AB-APSM-2026-27-%E5%B9%B4%E5%BA%A6-
HS26052227,校工(全職 / 半職) (9 月到職),伊斯蘭鮑伯濤紀念小學 ISLAMIC DHARWOOD PAU MEMORIAL PRIMARY SCHOOL,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052227/%E6%A0%A1%E5%B7%A5-%E5%85%A8%E8%81%B7-%E5%8D%8A%E8%81%B7-9-%E6%9C%88%E5%88%B0%E8%81%B7-
HS26052226,文書助理,伊斯蘭鮑伯濤紀念小學 ISLAMIC DHARWOOD PAU MEMORIAL PRIMARY SCHOOL,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052226/%E6%96%87%E6%9B%B8%E5%8A%A9%E7%90%86
HS26052225,支援教師 / 教學助理 (9 月到職),伊斯蘭鮑伯濤紀念小學 ISLAMIC DHARWOOD PAU MEMORIAL PRIMARY SCHOOL,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052225/%E6%94%AF%E6%8F%B4%E6%95%99%E5%B8%AB-%E6%95%99%E5%AD%B8%E5%8A%A9%E7%90%86-9-%E6%9C%88%E5%88%B0%E8%81%B7-
HS26052224,Substitute Teacher (Music & Mathematics) (Maternity Leave) (Sep 2026 to Dec 2026),伊斯蘭鮑伯濤紀念小學 ISLAMIC DHARWOOD PAU MEMORIAL PRIMARY SCHOOL,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052224/Substitute-Teacher-Music-Mathematics-Maternity-Leave-Sep-2026-to-Dec-2026-
HS26052223,"Substitute Teacher (Chinese, Putonghua & Primary Humanities) (Maternity Leave) (Sep 2026 to Nov 2026)",伊斯蘭鮑伯濤紀念小學 ISLAMIC DHARWOOD PAU MEMORIAL PRIMARY SCHOOL,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052223/Substitute-Teacher-Chinese-Putonghua-Primary-Humanities-Maternity-Leave-Sep-2026-to-Nov-2026-
HS26052222,Substitute Teacher (NET) (Maternity Leave) (Sep 2026 to Nov 2026),伊斯蘭鮑伯濤紀念小學 ISLAMIC DHARWOOD PAU MEMORIAL PRIMARY SCHOOL,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052222/Substitute-Teacher-NET-Maternity-Leave-Sep-2026-to-Nov-2026-
HS26052221,Contract Teacher (School Year 2026-2027),伊斯蘭鮑伯濤紀念小學 ISLAMIC DHARWOOD PAU MEMORIAL PRIMARY SCHOOL,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052221/Contract-Teacher-School-Year-2026-2027-
HS26052213,體育科教師 1 名 (常額 / 合約) (2026/2027 年度),救世軍卜維廉中學 WILLIAM BOOTH SECONDARY SCHOOL,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052213/%E9%AB%94%E8%82%B2%E7%A7%91%E6%95%99%E5%B8%AB-1-%E5%90%8D-%E5%B8%B8%E9%A1%8D-%E5%90%88%E7%B4%84-2026-2027-%E5%B9%B4%E5%BA%A6-
HS26052212,資訊科技科教師 1 名 (常額 / 合約) (2026/2027 年度),救世軍卜維廉中學 WILLIAM BOOTH SECONDARY SCHOOL,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052212/%E8%B3%87%E8%A8%8A%E7%A7%91%E6%8A%80%E7%A7%91%E6%95%99%E5%B8%AB-1-%E5%90%8D-%E5%B8%B8%E9%A1%8D-%E5%90%88%E7%B4%84-2026-2027-%E5%B9%B4%E5%BA%A6-
HS26052211,中國歷史 / 歷史科教師 1 名 (常額 / 合約) (2026/2027 年度),救世軍卜維廉中學 WILLIAM BOOTH SECONDARY SCHOOL,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052211/%E4%B8%AD%E5%9C%8B%E6%AD%B7%E5%8F%B2-%E6%AD%B7%E5%8F%B2%E7%A7%91%E6%95%99%E5%B8%AB-1-%E5%90%8D-%E5%B8%B8%E9%A1%8D-%E5%90%88%E7%B4%84-2026-2027-%E5%B9%B4%E5%BA%A6-
HS26052131,校本言語治療師,明愛莊月明中學 CARITAS CHONG YUET MING SECONDARY SCHOOL,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052131/%E6%A0%A1%E6%9C%AC%E8%A8%80%E8%AA%9E%E6%B2%BB%E7%99%82%E5%B8%AB
HS26052121,英文科常額 / 合約教師,十八鄉鄉事委員會公益社小學 SHAP PAT HEUNG RURAL COMMITTEE KUNG YIK SHE PRIMARY SCHOOL,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052121/%E8%8B%B1%E6%96%87%E7%A7%91%E5%B8%B8%E9%A1%8D-%E5%90%88%E7%B4%84%E6%95%99%E5%B8%AB
HS26052113,工場雜務員 WA,匡智翠林晨崗學校 HONG CHI MORNINGHILL SCHOOL TSUI LAM,2026-06-12,https://jump.mingpao.com/job/detail/Jobs/2/HS26052113/%E5%B7%A5%E5%A0%B4%E9%9B%9C%E5%8B%99%E5%93%A1-WA
